case_id,video_id,candidate_type,query_count,candidate_count,mean_candidate_duration_ms,Recall@1,Recall@3,Recall@10,MRR,mean_best_overlap,mean_best_tIoU,mean_best_temporal_precision,mean_best_tIoU_duration_ms,mean_top1_tIoU,mean_top1_temporal_precision,mean_top1_duration_ms
dev08_400_700,day1_Allie_08,semantic_visual_text_w0.25,3,9,33333.333333333336,1.0,1.0,1.0,1.0,0.8771929824561404,0.7541771094402673,0.876984126984127,51666.666666666664,0.7541771094402673,0.876984126984127,51666.666666666664
dev08_400_700,day1_Allie_08,semantic_visual_text_w0.25_transcript_rerank,3,9,33333.333333333336,1.0,1.0,1.0,1.0,0.8771929824561404,0.7541771094402673,0.876984126984127,51666.666666666664,0.7541771094402673,0.876984126984127,51666.666666666664
dev08_400_700,day1_Allie_08,fixed_30s,3,15,29333.333333333332,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.620414673046252,0.5648591174906964,0.9444444444444445,30000.0,0.5648591174906964,0.9444444444444445,30000.0
dev08_400_700,day1_Allie_08,fixed_30s_transcript_rerank,3,15,29333.333333333332,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.620414673046252,0.5648591174906964,0.9444444444444445,30000.0,0.5648591174906964,0.9444444444444445,30000.0
dev08_400_700,day1_Allie_08,fixed_120s,3,3,100000.0,0.6666666666666666,1.0,1.0,0.8333333333333334,0.912280701754386,0.45258620689655177,0.4861111111111111,100000.0,0.299808429118774,0.3333333333333333,80000.0
dev08_400_700,day1_Allie_08,fixed_120s_transcript_rerank,3,3,100000.0,0.6666666666666666,1.0,1.0,0.8333333333333334,0.912280701754386,0.45258620689655177,0.4861111111111111,100000.0,0.299808429118774,0.3333333333333333,80000.0
dev08_400_700,day1_Allie_08,fused_semantic_fixed120_rrf,3,12,50000.0,1.0,1.0,1.0,1.0,0.912280701754386,0.7541771094402673,0.876984126984127,51666.666666666664,0.7541771094402673,0.876984126984127,51666.666666666664
dev08_400_700,day1_Allie_08,fused_semantic_fixed120_rrf_semantic_refined,3,12,50000.0,1.0,1.0,1.0,1.0,0.912280701754386,0.7541771094402673,0.876984126984127,51666.666666666664,0.7541771094402673,0.876984126984127,51666.666666666664
dev08_400_700,day1_Allie_08,fused_semantic_fixed120_rrf_transcript_hr_gated,3,12,50000.0,1.0,1.0,1.0,1.0,0.912280701754386,0.7541771094402673,0.876984126984127,51666.666666666664,0.7541771094402673,0.876984126984127,51666.666666666664
dev08_700_1000,day1_Allie_08,semantic_visual_text_w0.25,3,6,50000.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.9333333333333332,0.6176767676767677,0.6843434343434343,58333.333333333336,0.21212121212121213,0.21212121212121213,45000.0
